ResourceName ,Configuration
nbsbgiqe1jmp,"Type: Virtual Machine 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
VmSize: Standard_A2_v2 
OSVersion: WindowsServer 2012-R2-Datacenter 
AdminUsername: SolidsoftNBS 
vNet: nbsbgiqe1vnet 
ProvisioningState: Succeeded"
nbsbgiqe1appdata,"Type: Storage Account 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SkuName: StandardRAGRS 
SkuTier: Standard 
ProvisioningState: Succeeded"
nbsbgiqe1audit,"Type: Storage Account 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SkuName: StandardRAGRS 
SkuTier: Standard 
ProvisioningState: Succeeded"
nbsbgiqe1portalappdata,"Type: Storage Account 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SkuName: StandardRAGRS 
SkuTier: Standard 
ProvisioningState: Succeeded"
nbsbgiqe1reportdata,"Type: Storage Account 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SkuName: StandardRAGRS 
SkuTier: Standard 
ProvisioningState: Succeeded"
nbsbgiqe1st1,"Type: Storage Account 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SkuName: StandardLRS 
SkuTier: Standard 
ProvisioningState: Succeeded"
nbsbgiqe1st2,"Type: Storage Account 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SkuName: StandardLRS 
SkuTier: Standard 
ProvisioningState: Succeeded"
nbsbgiqe1stdiag1,"Type: Storage Account 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SkuName: StandardLRS 
SkuTier: Standard 
ProvisioningState: Succeeded"
nbsbgiqe1stlog1,"Type: Storage Account 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SkuName: StandardLRS 
SkuTier: Standard 
ProvisioningState: Succeeded"
nbsjumpstrfmoye7mu3w5ks,"Type: Storage Account 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SkuName: StandardLRS 
SkuTier: Standard 
ProvisioningState: Succeeded"
master,"Type: SQL Azure Database 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SqlServerVersion: 12.0 
SqlAdministratorLogin: nbsidentityadmin 
CollationName: SQL_Latin1_General_CP1_CI_AS 
MaxSizeBytes: 32212254720 
Edition: System 
Size: System0 
ProvisioningState: Online"
solidsoft.emvs.nbs.identityserver.database,"Type: SQL Azure Database 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SqlServerVersion: 12.0 
SqlAdministratorLogin: nbsidentityadmin 
CollationName: SQL_Latin1_General_CP1_CI_AS 
MaxSizeBytes: 2147483648 
Edition: Standard 
Size: S0 
ProvisioningState: Online"
master,"Type: SQL Azure Database 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SqlServerVersion: 12.0 
SqlAdministratorLogin: nbsorganisationsadmin 
CollationName: SQL_Latin1_General_CP1_CI_AS 
MaxSizeBytes: 32212254720 
Edition: System 
Size: System0 
ProvisioningState: Online"
solidsoft.emvs.nbs.organisationsadmin.database,"Type: SQL Azure Database 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
SqlServerVersion: 12.0 
SqlAdministratorLogin: nbsorganisationsadmin 
CollationName: SQL_Latin1_General_CP1_CI_AS 
MaxSizeBytes: 2147483648 
Edition: Standard 
Size: S0 
ProvisioningState: Online"
master,"Type: SQL Azure Database 
Location: westeurope 
ResourceGroup: NBSBgIqe1 
SqlServerVersion: 12.0 
SqlAdministratorLogin: nbsidentityadmin 
CollationName: SQL_Latin1_General_CP1_CI_AS 
MaxSizeBytes: 32212254720 
Edition: System 
Size: System0 
ProvisioningState: Online"
solidsoft.emvs.nbs.identityserver.database,"Type: SQL Azure Database 
Location: westeurope 
ResourceGroup: NBSBgIqe1 
SqlServerVersion: 12.0 
SqlAdministratorLogin: nbsidentityadmin 
CollationName: SQL_Latin1_General_CP1_CI_AS 
MaxSizeBytes: 2147483648 
Edition: Standard 
Size: S0 
ProvisioningState: Online"
master,"Type: SQL Azure Database 
Location: westeurope 
ResourceGroup: NBSBgIqe1 
SqlServerVersion: 12.0 
SqlAdministratorLogin: nbsorganisationsadmin 
CollationName: SQL_Latin1_General_CP1_CI_AS 
MaxSizeBytes: 32212254720 
Edition: System 
Size: System0 
ProvisioningState: Online"
solidsoft.emvs.nbs.organisationsadmin.database,"Type: SQL Azure Database 
Location: westeurope 
ResourceGroup: NBSBgIqe1 
SqlServerVersion: 12.0 
SqlAdministratorLogin: nbsorganisationsadmin 
CollationName: SQL_Latin1_General_CP1_CI_AS 
MaxSizeBytes: 2147483648 
Edition: Standard 
Size: S0 
ProvisioningState: Online"
nbsbgiqe1vnet,"Type: Virtual Network 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
AddressSpace: 10.0.0.0/16 
Subnets: nbsbgiqe1subnet-0=10.0.1.0/24 nbsbgiqe1subnet-1=10.0.2.0/24 nbsbgiqe1subnet-2=10.0.3.0/24 nbsbgiqe1subnet-3=10.0.0.0/24  
ProvisioningState: Succeeded"
nt0vm,"Type: Virtual Machine Scaleset 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
VmSize: Standard_A2_v2 
Instances: 5 
Tier: Standard 
OSVersion: WindowsServer 2012-R2-Datacenter 
Disks: http://nbsbgiqe1st1.blob.core.windows.net/vhds 
Extension [nt0vm_ServiceFabricNode] Name: nt0vm_ServiceFabricNode 
Extension [nt0vm_ServiceFabricNode] Type: ServiceFabricNode 
Extension [nt0vm_ServiceFabricNode] Publisher: Microsoft.Azure.ServiceFabric 
Extension [nt0vm_ServiceFabricNode] TypeHandlerVersion: 1.0 
Extension [VMDiagnosticsVmExtnt0vm] Name: VMDiagnosticsVmExtnt0vm 
Extension [VMDiagnosticsVmExtnt0vm] Type: IaaSDiagnostics 
Extension [VMDiagnosticsVmExtnt0vm] Publisher: Microsoft.Azure.Diagnostics 
Extension [VMDiagnosticsVmExtnt0vm] TypeHandlerVersion: 1.5 
Extension [runCustomScripts] Name: runCustomScripts 
Extension [runCustomScripts] Type: CustomScriptExtension 
Extension [runCustomScripts] Publisher: Microsoft.Compute 
Extension [runCustomScripts] TypeHandlerVersion: 1.4 
Network Interface: nbsbgiqe1NIC-0
AdminUsername: SolidsoftNBS 
ProvisioningState: Succeeded"
nt1vm,"Type: Virtual Machine Scaleset 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
VmSize: Standard_D4_v3 
Instances: 5 
Tier: Standard 
OSVersion: WindowsServer 2012-R2-Datacenter 
Disks: http://nbsbgiqe1st2.blob.core.windows.net/vhds 
Extension [nt1vm_ServiceFabricNode] Name: nt1vm_ServiceFabricNode 
Extension [nt1vm_ServiceFabricNode] Type: ServiceFabricNode 
Extension [nt1vm_ServiceFabricNode] Publisher: Microsoft.Azure.ServiceFabric 
Extension [nt1vm_ServiceFabricNode] TypeHandlerVersion: 1.0 
Extension [VMDiagnosticsVmExtnt1vm] Name: VMDiagnosticsVmExtnt1vm 
Extension [VMDiagnosticsVmExtnt1vm] Type: IaaSDiagnostics 
Extension [VMDiagnosticsVmExtnt1vm] Publisher: Microsoft.Azure.Diagnostics 
Extension [VMDiagnosticsVmExtnt1vm] TypeHandlerVersion: 1.5 
Extension [runCustomScripts] Name: runCustomScripts 
Extension [runCustomScripts] Type: CustomScriptExtension 
Extension [runCustomScripts] Publisher: Microsoft.Compute 
Extension [runCustomScripts] TypeHandlerVersion: 1.4 
Network Interface: nbsbgiqe1NIC1-0
AdminUsername: SolidsoftNBS 
ProvisioningState: Succeeded"
nbsaudit,"Type: Event Hubs 
Namespace: nbsbgiqe1-nbs-audit 
Location: North Europe 
ResourceGroup: NBSBgIqe1 
Message Retention(Days): 7 
Event Hub Status: Active 
Partitions: 4 
Sku Name: Standard  
Sku Capacity: 1  
Sku Tier: Standard  
ProvisioningState: Succeeded"
nbsbgiqe1IdKV,"Type: Key Vault 
Name: nbsbgiqe1IdKV 
Location: northeurope 
ResourceGroup: NBSBgIqe1"
nbsbgiqe1-config-document-db,"Type: Document Db 
Namespace: nbsbgiqe1-config-document-db 
Location: North Europe 
ResourceGroup: NBSBgIqe1 
Database Account Offer Type: Standard 
Throughput:  
Default Consistency Level: BoundedStaleness  
Max Interval(sec): 300  
Max Staleness Prefix: 100000  
ProvisioningState: Succeeded"
nbsbgiqe1-document-db,"Type: Document Db 
Namespace: nbsbgiqe1-document-db 
Location: North Europe 
ResourceGroup: NBSBgIqe1 
Database Account Offer Type: Standard 
Throughput:  
Default Consistency Level: Session  
Max Interval(sec): 5  
Max Staleness Prefix: 100  
ProvisioningState: Succeeded"
nbsbgiqe1-exception-document-db,"Type: Document Db 
Namespace: nbsbgiqe1-exception-document-db 
Location: North Europe 
ResourceGroup: NBSBgIqe1 
Database Account Offer Type: Standard 
Throughput:  
Default Consistency Level: BoundedStaleness  
Max Interval(sec): 300  
Max Staleness Prefix: 100000  
ProvisioningState: Succeeded"
nbsbgiqe1tm,"Type: Traffic Manager Profile 
Namespace: nbsbgiqe1tm 
Location:  
ResourceGroup: NBSBgIqe1 
Name: nbsbgiqe1tm 
RelativeDnsName: nbsbgiqe1 
Ttl: 300 
ProfileStatus: Enabled 
TrafficRoutingMethod: Priority 
MonitorProtocol: HTTPS 
MonitorPort: 8640 
MonitorPath: /Home/Error 
Endpoints[0].Name: sfpublicipaddress 
Endpoints[0].ProfileName: nbsbgiqe1tm 
Endpoints[0].ResourceGroupName: NBSBgIqe1 
Endpoints[0].Target: nbsbgiqe1appgateway.northeurope.cloudapp.azure.com 
Endpoints[0].EndpointStatus: Enabled 
Endpoints[0].Weight: 1 
Endpoints[0].Priority: 1 
Endpoints[0].EndpointMonitorStatus:  
ProvisioningState: "
nbsbgiqe1PublicIP-LB-FE-0,"Type: Public IP Address 
Namespace: nbsbgiqe1PublicIP-LB-FE-0 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
Name: nbsbgiqe1PublicIP-LB-FE-0 
PublicIpAllocationMethod: Static 
IpConfiguration: Microsoft.Azure.Commands.Network.Models.PSIPConfiguration 
DnsSettings: Microsoft.Azure.Commands.Network.Models.PSPublicIpAddressDnsSettings 
IpAddress: 52.138.176.187 
ProvisioningState: Succeeded"
nbsbgiqe1PublicIP-LB-FE-1,"Type: Public IP Address 
Namespace: nbsbgiqe1PublicIP-LB-FE-1 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
Name: nbsbgiqe1PublicIP-LB-FE-1 
PublicIpAllocationMethod: Dynamic 
IpConfiguration: Microsoft.Azure.Commands.Network.Models.PSIPConfiguration 
DnsSettings: Microsoft.Azure.Commands.Network.Models.PSPublicIpAddressDnsSettings 
IpAddress: 52.138.179.97 
ProvisioningState: Succeeded"
nbsbgiqe1PublicIP-LB-FE-2,"Type: Public IP Address 
Namespace: nbsbgiqe1PublicIP-LB-FE-2 
Location: northeurope 
ResourceGroup: NBSBgIqe1 
Name: nbsbgiqe1PublicIP-LB-FE-2 
PublicIpAllocationMethod: Dynamic 
IpConfiguration: Microsoft.Azure.Commands.Network.Models.PSIPConfiguration 
DnsSettings: Microsoft.Azure.Commands.Network.Models.PSPublicIpAddressDnsSettings 
IpAddress: Not Assigned 
ProvisioningState: Succeeded"
